practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
33,45,2,-0.7485107481711011,0.6631226582407952,12010,2
33,46,2,-0.6631226582407955,0.7485107481711007,12010,2
33,47,2,-0.5680647467311559,0.8229838658936564,12010,2
33,48,1,-0.4647231720437684,0.88545602565321,12010,2
33,49,3,-0.35460488704253595,0.9350162426854147,12010,2
33,50,2,-0.2393156642875578,0.970941817426052,12010,2
33,51,3,-0.12053668025532363,0.992708874098054,12010,2
33,53,1,0.12053668025532314,0.992708874098054,12010,2
33,54,3,0.23931566428755732,0.9709418174260521,12010,2
33,55,2,0.3546048870425355,0.9350162426854148,12010,2
33,56,1,0.46472317204376795,0.8854560256532102,12010,2
33,57,1,0.5680647467311555,0.8229838658936566,12010,2
33,58,2,0.6631226582407952,0.7485107481711011,12010,2
33,59,3,0.7485107481711007,0.6631226582407956,12010,2
33,62,1,0.9350162426854147,0.354604887042536,12010,2
33,63,1,0.970941817426052,0.23931566428755785,12010,2
33,64,1,0.9927088740980539,0.12053668025532369,12010,2
33,65,3,1,3.061515884555943e-16,12010,2
33,66,1,0.992708874098054,-0.12053668025532309,12010,2
33,68,3,0.9350162426854148,-0.35460488704253545,12010,2
33,69,2,0.8854560256532102,-0.4647231720437679,12010,2
33,71,1,0.7485107481711012,-0.6631226582407952,12010,2
33,72,1,0.6631226582407956,-0.7485107481711006,12010,2
33,73,2,0.5680647467311568,-0.8229838658936557,12010,2
33,74,5,0.4647231720437685,-0.8854560256532099,12010,2
33,75,1,0.35460488704253607,-0.9350162426854146,12010,2
33,76,3,0.23931566428755877,-0.9709418174260518,12010,2
33,77,3,0.12053668025532287,-0.992708874098054,12010,2
33,78,1,3.673819061467132e-16,-1,12010,2
33,79,1,-0.12053668025532391,-0.9927088740980539,12010,2
33,80,2,-0.23931566428755807,-0.9709418174260519,12010,2
33,82,4,-0.46472317204376784,-0.8854560256532102,12010,2
33,83,2,-0.5680647467311561,-0.8229838658936561,12010,2
